Fecha,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
2017-01-01,6090271.96,5887031.28,5708693.89,5538133.02,5389774.53,5288199.94,4851217.85,4876162.18,5073813.27,5359713.29,5586470.17,5770471.79,5847839.73,5844160.87,5745568.87,5647807.4,5609297.84,5690105.56,6761038.26,7077861.59,6979468.9,6695312.12,6289107.72,5794545.98
2017-01-02,5557603.42,5361012.17,5239119.86,5163721.7,5249539.75,5438852.95,5566947.57,6055220.8,6588005.66,6979088.72,7300560.97,7536077.12,7561759.76,7543951.6,7610559.73,7584026.97,7421194.49,7317194.26,8182697.67,8482127.69,8251009.75,7836278.95,7221234.85,6660691.64
2017-01-03,6160676.02,5924880.04,5764416.93,5685832.28,5778222.13,5985840.29,6083907.36,6545100.21,7092804.54,7461185.94,7793417.76,8048475.01,8027249.1,8027658.57,8148614.93,8117168.0,7930900.03,7783762.28,8653467.38,8835882.88,8562448.23,8095841.79,7443299.51,6840297.15
2017-01-04,6321851.2,6092135.24,5905390.85,5827867.82,5925730.02,6182279.89,6276759.96,6737660.53,7256819.19,7608691.4,7942405.48,8175350.47,8130409.06,8103241.98,8164513.51,8132006.92,7962749.39,7841533.59,8700506.07,8860255.66,8611085.76,8147451.75,7471240.82,6838250.32
2017-01-05,6395397.96,6162409.22,6001153.67,5918673.26,6005924.21,6225027.53,6322923.78,6739120.44,7307847.42,7619827.03,7841273.28,8086657.92,8112556.47,8059751.44,8144209.65,8136193.07,8022918.36,7927405.07,8718181.89,8832234.87,8579992.47,8063978.64,7406615.66,6829864.57
2017-01-06,6381819.62,6131392.34,5995648.54,5926665.13,6016864.72,6294425.78,6434787.53,6882054.0,7365946.07,7734212.67,8030173.76,8274327.44,8185560.87,8173830.18,8240411.86,8173415.39,7996806.3,7822605.04,8675548.79,8846841.24,8592264.6,8136250.38,7518243.88,6921639.21
2017-01-07,6525895.31,6240836.72,6090880.04,5990958.51,6031128.61,6153095.75,6153441.16,6494933.3,7032859.86,7404827.5,7693273.84,7825830.52,7824002.98,7692923.86,7541365.53,7431992.46,7301062.46,7354996.31,8254006.56,8462231.18,8247014.72,7846633.93,7263016.84,6748022.1
2017-01-08,6326836.49,6094599.0,5894932.99,5767066.6,5723343.19,5732869.09,5517452.94,5695553.38,6006775.9,6245034.62,6452579.21,6660908.42,6725256.59,6668164.02,6530022.48,6424695.7,6390754.63,6548894.08,7552952.28,7754913.1,7563722.46,7188256.16,6705884.31,6238894.75
2017-01-09,5917367.06,5725053.67,5567058.06,5496669.03,5532239.19,5566907.36,5397204.37,5600906.11,5965768.21,6303910.1,6570787.98,6793605.75,6859574.31,6777145.21,6659606.88,6544740.37,6509866.66,6712253.52,7703462.32,7979736.68,7716144.47,7297017.51,6795361.42,6321478.25
2017-01-10,5956092.23,5712085.93,5606050.44,5595323.09,5770049.55,6103857.89,6296790.66,6776968.47,7381221.79,7723873.93,8064491.85,8290855.43,8167156.1,8168408.77,8317358.6,8286351.48,8191637.05,8053310.11,8803188.92,8925547.21,8563960.4,8036507.99,7340419.13,6664161.76
2017-01-11,6247497.23,5973970.15,5850082.32,5825558.91,5971029.69,6286085.97,6495134.5,6974008.5,7573269.04,7878197.45,8220191.64,8496093.43,8367847.38,8348495.23,8452147.88,8443873.14,8277363.59,8040677.59,8773563.02,8937015.37,8610020.05,8104977.64,7398256.5,6670426.94
2017-01-12,6281657.87,6058053.29,5915033.97,5853487.17,6037400.44,6367048.73,6574833.93,7062448.94,7606404.17,7949730.96,8271194.38,8489964.93,8391747.53,8359064.83,8517808.31,8514069.28,8335155.25,8102346.1,8849044.87,9014758.48,8742208.41,8235449.25,7493710.63,6805224.72
2017-01-13,6391904.81,6109056.72,5993121.48,5966735.74,6117911.38,6445812.9,6636808.99,7147650.01,7697967.56,7992775.67,8319213.66,8565243.78,8425137.22,8346564.84,8501870.42,8487437.43,8274365.14,8090716.31,8821825.79,8986601.73,8657221.75,8126277.22,7458226.28,6752472.02
2017-01-14,6380559.7,6136372.71,5988934.93,5899758.44,5971830.54,6156273.77,6247261.29,6644536.53,7209680.37,7623520.24,7886059.43,8064112.97,7988110.65,7805846.35,7631706.73,7538207.8,7379971.49,7371796.01,8308689.99,8536272.58,8244696.69,7764060.22,7138582.56,6618058.75
2017-01-15,6160894.13,5857447.18,5676577.03,5563299.19,5515415.8,5528447.87,5355332.86,5584519.92,5977534.16,6280759.08,6550598.81,6772869.45,6797319.79,6709434.63,6573694.17,6480169.76,6408327.58,6522384.68,7563803.51,7971409.89,7860135.71,7458977.07,6896159.86,6383917.81
2017-01-16,6008364.13,5775561.76,5672195.09,5658816.87,5831892.28,6260446.5,6508209.98,6956210.4,7525942.8,7844417.8,8197847.78,8447967.78,8319195.72,8293443.09,8451259.76,8450529.29,8285365.84,8129301.12,8819671.66,9067444.36,8800735.55,8225465.14,7471716.35,6774156.9
2017-01-17,6346679.98,6110812.69,5908722.13,5874471.45,6001287.54,6500904.01,6798574.57,7219319.93,7744641.15,8034976.03,8317874.45,8545368.41,8455592.94,8442865.7,8583484.05,8585293.21,8430135.73,8176867.19,8908807.33,9116466.92,8811363.12,8207466.92,7458363.83,6757032.04
2017-01-18,6296312.28,6086823.54,5901295.8,5883070.79,6040123.03,6522710.22,6701343.07,7128388.78,7646887.73,7874564.97,8214568.44,8467319.25,8293134.12,8330552.95,8497222.51,8489364.09,8298037.69,8171474.59,8823577.74,9005601.39,8652984.59,8114483.92,7341548.98,6675982.96
2017-01-19,6256591.67,6044783.56,5907103.23,5836547.98,6064611.28,6442521.02,6744858.64,7151457.38,7654618.86,8023953.52,8373661.22,8629099.28,8455636.97,8438018.78,8562720.94,8583712.17,8382131.65,8242729.59,8912593.94,9073089.83,8802270.58,8296879.04,7491934.02,6808424.96
2017-01-20,6385316.25,6170992.9,5996997.58,5940138.81,6144625.14,6560242.23,6875968.81,7324438.15,7837866.74,8164568.35,8529717.81,8752107.55,8583317.59,8536507.82,8708886.25,8676641.07,8423212.0,8201011.47,8919347.41,9121490.36,8812691.27,8265441.01,7535458.46,6939906.04
2017-01-21,6498231.12,6242843.23,6075968.21,6012372.32,6081705.86,6250921.45,6349573.79,6804379.54,7351269.81,7759644.91,8059853.51,8241499.38,8109337.48,7916018.38,7692162.17,7571897.95,7401326.66,7392257.68,8316803.09,8604592.91,8347227.93,7839792.74,7187146.8,6611730.33
2017-01-22,6156590.63,5916508.56,5711157.34,5608294.08,5544686.88,5524993.96,5340099.94,5547716.88,5934386.66,6326157.38,6607108.87,6786542.4,6861474.31,6801309.09,6709409.59,6633396.4,6520852.06,6542894.17,7533532.1,8023586.96,7917812.89,7522133.61,6915321.68,6387169.99
